ProductSubcategoryName,ProductCategoryName,ProductName,ProfitAmount,SaleAmount,SalesQuantity,ArticleKey
PARE-BRISE V CAPTEUR PLUIE,MERCEDES,DIVERS,0.0,213.2166666666667,0.0,195
PARE-BRISE V CAPTEUR PLUIE (ACOUSTIQUE),RENAULT,DIVERS,0.0,325.8416666666667,0.0,196
PARE-BRISE V ATHERMIQUE (+CALS/INTERMIT.VAR/NAVIG.),PEUGEOT,DIVERS,0.0,447.5333333333333,0.0,197
PARE-BRISE V CAPTEUR PLUIE+CALES+EMB/TOI-OUVR VITRE (NC NET),DIVERS,DIVERS,100.0,65.83333333333334,0.0,198
BOITE A VITESSE 20CQ60,DIVERS,DIVERS,100.0,416.6666666666667,0.0,199
"PARE-BRISE BL (YC ENJ.INF/SPORT,EDITION)",VOLKSWAGEN,DIVERS,0.0,307.7583333333333,0.0,200
Pare-brise vert,PILKINGTON,DIVERS,0.0,245.9,0.0,201
PARE-BRISE V CAPTEUR PLUIE (CHGM-VOI/RECON-PANNEAU/TV),MERCEDES,DIVERS,0.0,236.03333333333336,0.0,202
PARE-BRISE V (REGARD No CHASSIS),VOLKSWAGEN,DIVERS,0.0,289.1666666666667,1.0,203
PARE-BRISE V (YC CALES/ACOUSTIQUE),CITROEN,DIVERS,0.0,363.20833333333337,2.0,204
KIT DE DISTRIBUTION ET POMPE A EAU,PEUGEOT,DIVERS,100.0,277.77775,0.0,205
PNEUS 195/60/16C,DIVERS,DIVERS,100.0,62.5,0.0,206
PLAQUETTES DE FREINT,DIVERS,DIVERS,100.0,27.77775,0.0,207
PNEUX 205/55/16,DIVERS,DIVERS,100.0,90.27775,0.0,208
PNEUX 225/55/17,DIVERS,DIVERS,100.0,97.22225,0.0,209
2 pneus michelin a emporté 205/55/16,DIVERS,DIVERS,100.0,173.61108333333334,0.0,210
MECHE PNEU,DIVERS,DIVERS,100.0,6.944416666666666,0.0,211
LUNETTE ARRIRE CLIO 4,DIVERS,DIVERS,100.0,291.6666666666667,0.0,212
DEFLECTEUR GAUCHE MEGANE,DIVERS,DIVERS,100.0,223.61108333333334,0.0,213
PNEU 095/65/16,DIVERS,DIVERS,100.0,76.38891666666667,0.0,214
PNEU 185/55/15,DIVERS,DIVERS,100.0,48.61108333333333,0.0,215
DEFLECTEUR AVANT GAUCHE,DIVERS,DIVERS,100.0,118.05558333333333,0.0,216
PNEU 195/70/15,DIVERS,DIVERS,100.0,41.66666666666667,0.0,217
PARE-BRISE V CAPTEUR PLUIE (ACOUSTIQUE),CITROEN,DIVERS,0.0,466.4,2.0,218
montage disques et plaquettes arr plus purge de freins,DIVERS,DIVERS,100.0,0.0,0.0,219
montage 3 filtres plus vidange,DIVERS,DIVERS,100.0,0.0,0.0,220
PARE-BRISE V CAPTEUR PLUIE (ACOUSTIQ/ALL.PHARES AUTO),RENAULT,DIVERS,0.0,441.20833333333337,5.0,221
Pare-brise vert dégradé bleu,PILKINGTON,DIVERS,0.0,497.9750000000001,0.0,222
PARE-BRISE,PEUGEOT,DIVERS,0.0,377.2666666666667,0.0,223
Pare-brise vert dégradé gris,PILKINGTON,DIVERS,0.0,310.9166666666667,0.0,224
ENJOLIVEUR D PARE-BRISE,CITROEN,DIVERS,0.0,29.758333333333336,0.0,225
Kit PB Vert + accessoires,PILKINGTON,DIVERS,0.0,235.28333333333333,2.0,226
Enjoliveur pare-brise,PILKINGTON,DIVERS,0.0,30.025000000000002,1.0,227
Pare-brise clair,PILKINGTON,DIVERS,0.0,205.93333333333334,0.0,228
PNEUS 205/55/16,DIVERS,DIVERS,100.0,305.55558333333335,0.0,229
JOINT PARE-BRISE,MERCEDES,DIVERS,0.0,24.408333333333335,0.0,230
ENJOLIVEUR INF PARE-BRISE,OPEL,DIVERS,0.0,30.75,1.0,231
Pare-brise vert solar,PILKINGTON,DIVERS,0.0,290.0083333333333,1.0,232
Kit enjoliveur pare-brise,PILKINGTON,DIVERS,0.0,35.333333333333336,0.0,233
02 pneux 185/55/16,DIVERS,DIVERS,100.0,83.33333333333334,1.0,234
KIT COLLAGE PARE-BRISE,CITROEN,DIVERS,0.0,27.266666666666666,0.0,235
Pare-brise clair,PILKINGTON,DIVERS,0.0,416.10833333333335,0.0,236
SOUFLET DE CARDANT,DIVERS,DIVERS,100.0,62.5,0.0,237
OFFRE FRANCHISE,DIVERS,DIVERS,100.0,69.44441666666667,0.0,238
PARE-BRISE V,RENAULT,DIVERS,0.0,260.68333333333334,0.0,239
Kit PB Vert + accessoires,PILKINGTON,DIVERS,0.0,300.275,0.0,240
M/O,DIVERS,DIVERS,100.0,125.0,0.0,241
PARE-BRISE V ATHERMIQUE CAPTEUR PLUIE (+ENJ/DEGRAD/VIN/CHGT.VOIE),AUDI,DIVERS,0.0,834.7833333333334,1.0,242
02 PNEUX 165/70/14,DIVERS,DIVERS,100.0,76.38891666666667,0.0,243
Kit PB Clair + accessoires,PILKINGTON,DIVERS,0.0,152.23333333333335,0.0,244
AGC BRIE DE GLASS,AGC,DIVERS,100.0,104.16666666666667,0.0,245
PARE-BRISE V (YC JOINT+CALE),CITROEN,DIVERS,0.0,233.76666666666665,2.0,246
PARE-BRISE V (YC CALES),CITROEN,DIVERS,0.0,311.40000000000003,13.0,247
BOITE VITESSE,DIVERS,DIVERS,100.0,0.0,0.0,248
PNEU 205/55/16V,DIVERS,DIVERS,100.0,0.0,0.0,249
PNEU 225/50/17 CONTINENTAL,DIVERS,DIVERS,100.0,0.0,0.0,250
transfert pneumatique,DIVERS,DIVERS,100.0,13.888916666666667,0.0,251
Pare-brise vert,PILKINGTON,DIVERS,0.0,285.8,0.0,252
Pare-brise vert dégradé bleu,PILKINGTON,DIVERS,0.0,240.075,1.0,253
accessoir vitrage,ABAC,DIVERS,100.0,0.0,0.0,254
Pare-brise vert solar,PILKINGTON,DIVERS,0.0,266.68333333333334,0.0,255
Pare-brise vert,PILKINGTON,DIVERS,0.0,368.9166666666667,0.0,256
AGRAFE ENJOLIVEUR P/B (QTE=12),CITROEN,DIVERS,0.0,0.55,0.0,257
AGRAFES ENJOLIVEUR G PARE BRISE ,DIVERS,DIVERS,100.0,0.0,0.0,258
CALES PARE BRISE,DIVERS,DIVERS,100.0,0.0,0.0,259
Enjoliveur pare-brise,PILKINGTON,DIVERS,0.0,16.03333333333333,0.0,260
Pare-brise vert dégradé bleu,PILKINGTON,DIVERS,0.0,282.1,0.0,261
def avant droit 3008,DIVERS,DIVERS,100.0,0.0,0.0,262
nettoyage bris de glace,DIVERS,DIVERS,100.0,0.0,0.0,263
Pare-brise clair,PILKINGTON,DIVERS,0.0,1063.0083333333332,11.0,264
COMPRESSEUR DE CLIM ,DIVERS,DIVERS,100.0,0.0,0.0,265
195/70/14,DIVERS,DIVERS,100.0,0.0,0.0,266
PNEUS 205/55/16,DIVERS,DIVERS,100.0,0.0,0.0,267
Kit PB Vert solar + Acc,PILKINGTON,DIVERS,0.0,147.925,0.0,268
Pare-brise vert,PILKINGTON,DIVERS,0.0,279.1666666666667,0.0,269
Pare-brise vert dégradé vert,PILKINGTON,DIVERS,0.0,306.6,0.0,270
JOINT PARE-BRISE,DIVERS,DIVERS,100.0,16.034750000000003,1.0,271
CALES DE PARE-BRISE,DIVERS,DIVERS,100.0,0.0,0.0,272
M/O,DIVERS,DIVERS,100.0,184.33333333333334,0.0,273
PARE-BRISE V DEGRADE,MERCEDES,DIVERS,0.0,336.25,0.0,274
Pare-brise vert,PILKINGTON,DIVERS,0.0,296.7166666666667,0.0,275
PARE-BRISE V CAPTEUR PLUIE (RET.ELECT/ACOUS/SUPP.RECT),PEUGEOT,DIVERS,0.0,510.9833333333333,3.0,276
Pare-brise vert,PILKINGTON,DIVERS,0.0,308.3833333333333,0.0,277
185/65/15,DIVERS,DIVERS,100.0,0.0,1.0,278
REMPLISSAGE ADDITIF FAP,DIVERS,DIVERS,100.0,0.0,0.0,279
235/60/17,DIVERS,DIVERS,100.0,0.0,0.0,280
2 pneus 225/60/17 intertrac,DIVERS,DIVERS,100.0,0.0,0.0,281
ERREUR SAISIE ,DIVERS,DIVERS,100.0,0.0,1.0,282
Pare-brise clair,PILKINGTON,DIVERS,0.0,348.5,0.0,283
ENJOLIVEUR D PARE-BRISE,OPEL,DIVERS,0.0,23.791666666666668,0.0,284
ENJOLIVEUR G PARE-BRISE,OPEL,DIVERS,0.0,23.791666666666668,0.0,285
ENJOLIVEUR INF PARE-BRISE,OPEL,DIVERS,0.0,18.616666666666667,1.0,286
ENJOLIVEUR SUP PARE-BRISE,OPEL,DIVERS,0.0,10.583333333333334,1.0,287
Pare-brise vert dégradé bleu,PILKINGTON,DIVERS,0.0,224.58333333333334,0.0,288
245/45/19 RFT,DIVERS,DIVERS,100.0,0.0,0.0,289
