SalesKey,DateKey,SalesQuantity,SaleAmount,ProfitAmount,Region,States,ProductName,ProductCategoryName,ProductSubcategoryName,Feedback
129,2019-04-12,1,113.46,100.0,95140,GARGES LES GONESSE,DIVERS,DIVERS,ENJOLIVEUR PARE-BRISE IVECO DAILY,2
131,2019-07-18,1,10.42,100.0,95200,SARCELLES,DIVERS,DIVERS,remplacement ampoule H7,4
132,2019-09-10,1,1083.33,100.0,93240,STAINS,DIVERS,DIVERS,CALCULATEUR + MO,10
133,2019-11-05,1,201.3,0.0,93200,ST DENIS,DIVERS,PILKINGTON (EUROCODE),Pare-brise vert dégradé vert,2
134,2019-12-18,1,146.33,100.0,93380,PIERREFITTE SUR SEINE,DIVERS,DIVERS,1 deflecteur AV DROITE,0
134,2019-12-18,1,20.83,100.0,93380,PIERREFITTE SUR SEINE,DIVERS,DIVERS,MONTAGE PNEUS 385/70/22.5,0
136,2020-06-03,1,23.33,100.0,95380,LOUVRES,DIVERS,DIVERS,VITRE MOBILE AVANT DROIT VERT SPRINTER PETIT ET GRAND MODELE95-06  5426RGNV2FD,2
138,2020-09-01,1,6.67,100.0,93700,DRANCY,DIVERS,DIVERS,1 JOINT,2
139,2020-12-02,1,75.0,100.0,93380,PIERREFITTE SUR SEINE,DIVERS,DIVERS,ROTULLE +BIELETTE  AVD,7
140,2021-02-24,1,70.42,100.0,93450,L ILE ST DENIS,DIVERS,DIVERS,PARE-BRISE VERT CLASSE A/B W169/245 CAPTEUR DE PLUIE 04-12 5358AGSMV1B,6
140,2021-02-24,1,62.5,100.0,93450,L ILE ST DENIS,DIVERS,DIVERS,LUNETTE PEUGEOT EXPERT 3752BGDVB,6
143,2022-01-07,1,188.43,100.0,93200,ST DENIS,DIVERS,DIVERS,PARE BRISE AUDI A5 8592AGACMUZ2P,10
143,2022-01-07,1,27.78,100.0,93200,ST DENIS,DIVERS,DIVERS,montage de pneus ,10
144,2022-04-04,1,27.32,100.0,93200,ST DENIS,DIVERS,DIVERS,[7263LGSV5FD] GLACE DESCENDANTE AVANT GAUCHE TEINTE VERT RENAULT MODUS 04- ,7
144,2022-04-04,1,25.29,0.0,93200,ST DENIS,DIVERS,PILKINGTON (EUROCODE),Enjoliveur pare-brise,7
145,2022-10-03,1,194.44,100.0,95340,BERNES SUR OISE,DIVERS,DIVERS,PARE-CHOC PARTIE ARG ,9
