States,Region,SalesKey,Civilité,Feedback,DateKey
GOUSSAINVILLE,95190,3100,3,10,2018-07-17
BEZONS,95870,3101,3,2,2018-12-22
STAINS,93240,3102,3,10,2019-03-12
PIERREFITTE SUR SEINE,93380,3103,3,4,2019-07-02
PIERREFITTE SUR SEINE,93380,3104,3,0,2019-08-16
AULNAY SOUS BOIS,93600,3105,3,3,2019-10-07
LE BLANC MESNIL,93150,3106,1,5,2020-01-13
EPINAY SUR SEINE,93800,3107,5,5,2020-03-05
DEUIL LA BARRE,95170,3108,3,0,2020-06-22
BONDY,93140,3109,1,4,2020-08-04
PIERREFITTE SUR SEINE,93380,3110,3,10,2020-10-03
PONTOISE,95300,3111,3,5,2021-01-15
CHAMPIGNY SUR MARNE,94500,3112,3,8,2021-04-06
PIERREFITTE SUR SEINE,93380,3113,3,3,2021-08-26
SARCELLES,95200,3114,3,8,2021-11-29
LIVRY GARGAN,93190,3115,3,0,2022-02-14
ST DENIS,93200,3116,1,1,2022-05-17
SEVRAN,93270,3117,3,8,2022-08-11
ELBEUF,76500,3118,3,10,2023-05-25
FONTENAY AUX ROSES,92260,3119,1,4,2023-09-26
DRANCY,93700,3120,3,0,2023-12-21
PIERREFITTE SUR SEINE,93380,3121,3,3,2024-07-04
STAINS,93240,3122,3,5,2018-07-17
BONDY,93140,3123,3,4,2018-12-22
MORTEFONTAINE EN THELLE,60570,3124,1,3,2019-03-13
MONTREUIL,93100,3125,3,7,2019-05-11
VITRY SUR SEINE,94400,3126,3,8,2019-07-02
ARNOUVILLE LES GONESSE,95400,3127,3,5,2019-08-16
PIERREFITTE SUR SEINE,93380,3128,2,8,2019-10-08
MONTMAGNY,95360,3129,3,3,2020-01-13
PARIS 20EME ARRONDISSEMENT,75020,3130,3,7,2020-03-05
CHELLES,77500,3131,3,7,2020-06-22
STAINS,93240,3132,3,1,2020-10-03
LA COURNEUVE,93120,3133,3,1,2021-01-15
DEUIL LA BARRE,95170,3134,3,3,2021-06-24
ROSNY SOUS BOIS,93110,3135,3,3,2021-08-26
PIERREFITTE SUR SEINE,93380,3136,3,0,2021-11-29
PECQUEUSE,91470,3137,3,7,2022-02-14
VILLEPINTE,93420,3138,3,1,2022-05-17
SARCELLES,95200,3139,5,0,2022-08-12
ST DENIS,93200,3140,3,5,2022-11-29
CHAMPIGNY SUR MARNE,94500,3141,3,6,2023-05-25
CROUY SUR OURCQ,77840,3142,3,5,2023-08-01
LE BLANC MESNIL,93150,3143,3,2,2023-09-26
STAINS,93240,3144,3,4,2023-12-21
PIERREFITTE SUR SEINE,93380,3145,3,8,2018-07-17
BEZONS,95870,3146,3,1,2018-10-18
BONDY,93140,3147,3,2,2018-12-22
ARGENTEUIL,95100,3148,3,8,2019-03-14
SARCELLES,95200,3149,3,5,2019-05-13
.,,3150,3,3,2019-10-08
LAMORLAYE,60260,3151,3,9,2020-01-13
EPINAY SUR SEINE,93800,3152,3,4,2020-08-04
VILLEMOMBLE,93250,3153,3,0,2020-10-03
STAINS,93240,3154,1,2,2021-04-06
ASNIERES SUR SEINE,92600,3155,2,5,2021-06-24
ST DENIS,93200,3156,3,4,2021-08-26
VILLIERS LE BEL,95400,3157,3,9,2021-12-01
CHAMPS SUR MARNE,77420,3158,3,0,2022-02-15
LE BLANC MESNIL,93150,3159,3,2,2022-05-17
PIERREFITTE SUR SEINE,93380,3160,1,10,2022-08-13
PARIS 18EME ARRONDISSEMENT,75018,3161,3,9,2023-05-25
GONESSE,95500,3162,2,4,2023-08-01
LE PLESSIS BELLEVILLE,60330,3163,3,8,2023-09-26
PIERREFITTE SUR SEINE,93380,3164,3,1,2023-12-22
BONDY,93140,3165,3,9,2024-04-06
VILLENEUVE LA GARENNE,92390,3166,3,6,2024-07-04
ST DENIS,93200,3167,3,0,2018-05-07
PARIS 20EME ARRONDISSEMENT,75020,3168,3,0,2018-10-18
EPINAY SUR SEINE,93800,3169,3,9,2018-12-22
AUBERVILLIERS,93300,3170,3,0,2019-03-14
PARIS 20EME ARRONDISSEMENT,75020,3171,3,3,2019-05-13
AULNAY SOUS BOIS,93600,3172,3,3,2019-07-02
GARGES LES GONESSE,95140,3173,1,9,2019-08-16
PIERREFITTE SUR SEINE,93380,3174,3,4,2019-11-25
CHELLES,77500,3175,1,7,2020-01-13
SANNOIS,95110,3176,5,4,2020-03-06
LA COURNEUVE,93120,3177,3,9,2020-05-19
PONTOISE,95300,3178,3,4,2020-06-22
PARIS 18EME ARRONDISSEMENT,75018,3179,3,4,2020-08-04
GARGES LES GONESSE,95140,3180,3,2,2020-10-03
PONTOISE,95300,3181,3,5,2021-01-18
PIERREFITTE SUR SEINE,93380,3182,3,8,2021-04-06
VILLETANEUSE,93430,3183,3,10,2021-06-24
PANTIN,93500,3184,1,4,2021-08-26
PIERREFITTE SUR SEINE,93380,3185,3,10,2021-12-01
STAINS,93240,3186,1,1,2022-02-15
LA COURNEUVE,93120,3187,3,1,2022-05-17
STAINS,93240,3188,3,2,2022-08-15
PARIS 19EME ARRONDISSEMENT,75019,3189,3,6,2022-11-30
ERMONT,95120,3190,3,9,2023-03-10
L ILE ST DENIS,93450,3191,3,8,2023-05-25
GARGES LES GONESSE,95140,3192,3,9,2023-08-01
CHAMPIGNY SUR MARNE,94500,3193,3,9,2023-09-27
LEVALLOIS PERRET,92300,3194,1,9,2024-04-06
ASNIERES SUR SEINE,92600,3195,1,1,2024-07-04
GARGES LES GONESSE,95140,3196,3,6,2018-07-18
PARIS 20EME ARRONDISSEMENT,75020,3197,3,7,2018-10-18
EPINAY SUR SEINE,93800,3198,3,9,2018-12-22
PIERREFITTE SUR SEINE,93380,3199,1,0,2019-03-14
PANTIN,93500,3200,3,6,2019-07-02
MOULINS LES METZ,57160,3201,1,7,2019-11-25
PARIS 15EME ARRONDISSEMENT,75015,3202,3,8,2020-01-13
ST GERMAIN EN LAYE,78100,3203,5,2,2020-03-06
PIERREFITTE SUR SEINE,93380,3204,1,5,2020-05-20
STAINS,93240,3205,1,9,2020-08-04
LES NOUILLERS,17380,3206,1,10,2020-10-03
LE BLANC MESNIL,93150,3207,3,6,2021-01-18
PIERREFITTE SUR SEINE,93380,3208,1,3,2021-12-01
POISSY,78300,3209,3,5,2022-05-17
CHAVILLE,92370,3210,3,0,2022-08-16
MONTREUIL,93100,3211,1,6,2022-11-30
DOMONT,95330,3212,3,5,2023-05-25
RIEUX MINERVOIS,11160,3213,3,0,2023-09-27
MAGNY LE HONGRE,77700,3214,1,2,2024-04-08
VILLETANEUSE,93430,3215,3,9,2024-07-05
PROVINS,77160,3216,3,3,2018-05-07
PIERREFITTE SUR SEINE,93380,3217,3,8,2018-07-18
SARTROUVILLE,78500,3218,3,9,2018-10-18
MONTREUIL,93100,3219,3,6,2018-12-24
IVRY SUR SEINE,94200,3220,3,7,2019-03-14
MAUBEUGE,59600,3221,1,1,2019-05-14
DRANCY,93700,3222,3,5,2019-07-03
BAGNEUX,92220,3223,3,9,2019-08-19
VAUREAL,95490,3224,1,10,2019-10-08
NOISY LE SEC,93130,3225,3,2,2019-11-25
FONTAINEBLEAU,77300,3226,3,1,2020-01-13
SARCELLES,95200,3227,3,2,2020-06-22
AULNAY SOUS BOIS,93600,3228,3,8,2021-01-18
PARIS 13EME ARRONDISSEMENT,75013,3229,3,6,2021-04-07
AUBERVILLIERS,93300,3230,3,5,2021-06-24
PIERREFITTE SUR SEINE,93380,3231,3,6,2021-08-26
GROSLAY,95410,3232,1,7,2022-02-15
DEUIL LA BARRE,95170,3233,1,0,2022-08-16
CERGY,95000,3234,3,3,2022-12-01
VILLENEUVE LA GARENNE,92390,3235,3,8,2023-03-11
DAMPSMESNIL,27630,3236,3,7,2023-05-26
NOISY LE GRAND,93160,3237,1,9,2023-08-02
BRETIGNY SUR ORGE,91220,3238,5,8,2023-09-27
SOISY SOUS MONTMORENCY,95230,3239,3,3,2024-04-08
PROVINS,77160,3240,3,2,2018-05-07
PIERREFITTE SUR SEINE,93380,3241,1,0,2018-07-18
ROSNY SOUS BOIS,93110,3242,3,3,2018-10-18
MONTREUIL,93100,3243,3,6,2018-12-24
SEVRAN,93270,3244,5,7,2019-05-14
STAINS,93240,3245,3,0,2019-07-03
ASNIERES SUR SEINE,92600,3246,3,10,2019-08-20
VILLEMOMBLE,93250,3247,3,1,2019-11-25
VILLETANEUSE,93430,3248,1,6,2020-03-07
GONESSE,95500,3249,3,6,2020-05-20
ST DENIS,93200,3250,3,8,2020-08-05
BRANGES,71500,3251,3,3,2021-01-18
PANTIN,93500,3252,3,4,2021-06-25
TROISSEREUX,60112,3253,1,5,2021-08-26
ATHIS MONS,91200,3254,1,3,2022-02-15
PARIS 20EME ARRONDISSEMENT,75020,3255,1,9,2022-05-18
ST DENIS,93200,3256,3,4,2022-08-16
CHESSY,77700,3257,1,3,2023-03-11
DRANCY,93700,3258,3,1,2023-05-26
PARIS 19EME ARRONDISSEMENT,75019,3259,3,3,2023-08-02
MONTMAGNY,95360,3260,1,7,2023-09-28
AULNAY SOUS BOIS,93600,3261,3,9,2018-05-07
VILLIERS LE BEL,95400,3262,3,3,2018-12-24
GARGES LES GONESSE,95140,3263,5,6,2019-05-14
L ILE ST DENIS,93450,3264,3,6,2019-07-03
STAINS,93240,3265,3,9,2019-08-20
JANVILLE,60150,3266,1,5,2019-10-08
FIGANIERES,83830,3267,3,7,2019-11-26
ROSNY SOUS BOIS,93110,3268,3,3,2020-01-13
LA COURNEUVE,93120,3269,3,6,2020-05-20
PIERREFITTE SUR SEINE,93380,3270,2,6,2020-06-22
VILLEMOMBLE,93250,3271,3,1,2020-08-05
